added	removed	path
63	1	docs/agent-ops/handoffs/2026-09-13-v13-6-test-gate-repair-order.md
1	1	docs/agent-ops/INDEX.md
237	0	docs/audits/2026-09-13-testgate-builder/round3/before/docs/agent-ops/handoffs/2026-09-13-v13-6-test-gate-repair-order.md
372	0	docs/audits/2026-09-13-testgate-builder/round3/before/docs/agent-ops/INDEX.md
269	0	docs/audits/2026-09-13-testgate-builder/round3/before/docs/generated/object-inventory.md
4741	0	docs/audits/2026-09-13-testgate-builder/round3/before/docs/generated/tool-face-manifest.json
48	0	docs/audits/2026-09-13-testgate-builder/round3/before/package.json
39	0	docs/audits/2026-09-13-testgate-builder/round3/before/scripts/check-tech-debt-table.mjs
75	0	docs/audits/2026-09-13-testgate-builder/round3/before/server/package.json
179	0	docs/audits/2026-09-13-testgate-builder/round3/before/server/scripts/check-test-wiring.mjs
505	0	docs/audits/2026-09-13-testgate-builder/round3/before/server/scripts/v13WildernessExecute.test.ts
200	0	docs/audits/2026-09-13-testgate-builder/round3/before/server/src/__tests__/v13AtomicTextSaveMigration.test.ts
311	0	docs/audits/2026-09-13-testgate-builder/round3/before/server/src/__tests__/v13BoardIdentity.test.ts
230	0	docs/audits/2026-09-13-testgate-builder/round3/before/server/src/__tests__/v13EventsLedger.test.ts
143	0	docs/audits/2026-09-13-testgate-builder/round3/before/server/src/__tests__/v13ProjectDeletionReferences.test.ts
2108	0	docs/audits/2026-09-13-testgate-builder/round3/before/server/src/__tests__/v2MaterialLibrary.test.ts
430	0	docs/audits/2026-09-13-testgate-builder/round3/before/server/src/__tests__/v2NotesLifecycle.test.ts
850	0	docs/audits/2026-09-13-testgate-builder/round3/before/server/src/toolFace/registry.ts
7	0	docs/audits/2026-09-13-testgate-builder/round3/docs-after-index-results.json
7	0	docs/audits/2026-09-13-testgate-builder/round3/docs-results.json
218	0	docs/audits/2026-09-13-testgate-builder/round3/failures.json
11	0	docs/audits/2026-09-13-testgate-builder/round3/final-docs-check-after-index.log
8	0	docs/audits/2026-09-13-testgate-builder/round3/final-docs-check.log
12	0	docs/audits/2026-09-13-testgate-builder/round3/generate-docs-index.log
70	0	docs/audits/2026-09-13-testgate-builder/round3/generate-mcp-manifest.log
63	0	docs/audits/2026-09-13-testgate-builder/round3/generate-mcp-manifest.mjs
98	0	docs/audits/2026-09-13-testgate-builder/round3/handler-hash-provenance.json
34	0	docs/audits/2026-09-13-testgate-builder/round3/integrity.json
10	0	docs/audits/2026-09-13-testgate-builder/round3/mcp-manifest-delta.json
72	0	docs/audits/2026-09-13-testgate-builder/round3/numstat.tsv
65	0	docs/audits/2026-09-13-testgate-builder/round3/README.md
92	0	docs/audits/2026-09-13-testgate-builder/round3/run-validation.mjs
158	0	docs/audits/2026-09-13-testgate-builder/round3/server-inventory.json
12	0	docs/audits/2026-09-13-testgate-builder/round3/server-results.json
